algorytm,glebokosc,wariant,gracz1_wygrane,gracz2_wygrane,remisy,lacznie_ruchow,nieudane_ruchy,procent_nieudanych,sr_czas_ruch_s,czas_laczny_s,liczba_pomiarow
"ExpectiMinimax (α-β, p=0.2)",2,Deterministyczny,50,0,0,350,,,0.000630,0.220,350
"ExpectiMinimax (α-β, p=0.2)",2,Probabilistyczny (20% fail),36,12,2,434,81,18.7,0.000499,0.217,434
"ExpectiMinimax (α-β, p=0.2)",6,Deterministyczny,0,0,50,450,,,1.460764,657.344,450
"ExpectiMinimax (α-β, p=0.2)",6,Probabilistyczny (20% fail),19,10,21,434,81,18.7,1.972853,856.218,434
